Artist;Scrobblings;Origen
EVELIO Y VIRGELINA;8;
Funeral Candies;8;
Grima Morstua;8;
Ildjarn-Nidhogg;8;
Kraanium;8;
Life of Boris;8;
Luciano Pavarotti;8;
Malsaint;8;
MEPHIZTOPHEL;8;
Moonkult;8;
Mordichrist;8;
Motörhead;8;
MUERTE POR IMPLOSION;8;
Nervengas;8;
Nihil Invocation;8;
Noenum;8;
Nuit Noire;8;
Nuovi Step;8;
NX1;8;
Opiated Devilsperm;8;
Paradisio;8;
Pastor Lopez;8;
Pestes De Cloaca;8;
Phoebe Bridgers;8;
Pisse;8;
poproboval;8;
Rites of Cleansing;8;
